#time[sec] output_ch0 output_ch1
0.000000000000000000e+00 1.003289279994347361e+00 1.090231817325356817e-01
1.000000000000000021e-08 1.008809441094728809e+00 1.021229803570587319e-01
2.000000000000000042e-08 1.012949561920014840e+00 8.418245678081867633e-02
3.000000000000000394e-08 9.977691188939658007e-01 7.590221513024635047e-02
4.000000000000000084e-08 9.825886758679164279e-01 7.728225540534174043e-02
4.999999999999999774e-08 9.798285953177258145e-01 7.866229568043713039e-02
6.000000000000000787e-08 9.894888772433934054e-01 7.590221513024635047e-02
7.000000000000000477e-08 9.991491591690611074e-01 7.038205402986480452e-02
8.000000000000000167e-08 1.000529199444156525e+00 7.452217485515097439e-02
8.999999999999999857e-08 9.977691188939658007e-01 8.004233595553252034e-02
9.999999999999999547e-08 1.001909239719251721e+00 8.418245678081867633e-02
1.100000000000000056e-07 1.007429400819633392e+00 8.418245678081867633e-02
1.200000000000000157e-07 1.017089682745301094e+00 8.418245678081867633e-02
1.299999999999999994e-07 1.015709642470205898e+00 8.418245678081867633e-02
1.400000000000000095e-07 1.012949561920014840e+00 8.832257760610484620e-02
1.499999999999999932e-07 1.003289279994347361e+00 8.832257760610484620e-02
1.600000000000000033e-07 1.000529199444156525e+00 8.280241650572330026e-02
1.700000000000000135e-07 9.715483536671533082e-01 4.278124852795703315e-02
1.799999999999999971e-07 9.660281925667717484e-01 3.588104715248009724e-02
1.900000000000000073e-07 9.674082328418671661e-01 3.726108742757548720e-02
1.999999999999999909e-07 9.701683133920580016e-01 3.864112770267087021e-02
2.100000000000000011e-07 9.867287966932026810e-01 4.968144990343398293e-02
2.200000000000000112e-07 1.008809441094728809e+00 6.072177210419708177e-02
2.299999999999999949e-07 1.030890085496255049e+00 7.590221513024635047e-02
2.400000000000000315e-07 1.050210649347590453e+00 9.522277898158179599e-02
2.499999999999999887e-07 1.054350770172876706e+00 1.076431414574402917e-01
2.599999999999999988e-07 1.058490890998162737e+00 1.173034233831079937e-01
2.700000000000000090e-07 1.079191495124593780e+00 1.421441483348249990e-01
2.800000000000000191e-07 1.068151172923830439e+00 1.421441483348249990e-01
2.900000000000000292e-07 1.041930407697018168e+00 1.324838664091572693e-01
2.999999999999999864e-07 1.023989884120777960e+00 1.214435442083941635e-01
3.099999999999999966e-07 9.977691188939658007e-01 1.021229803570587319e-01
3.200000000000000067e-07 9.770685147675348681e-01 8.142237623062791030e-02
3.300000000000000168e-07 9.646481522916764417e-01 7.038205402986480452e-02
3.400000000000000270e-07 9.577479509161995752e-01 5.796169155400630185e-02
3.499999999999999842e-07 9.563679106411039355e-01 5.382157072872014586e-02
3.599999999999999943e-07 9.508477495407225977e-01 5.658165127891091883e-02
3.700000000000000044e-07 8.128437220311837130e-01 5.796169155400630185e-02
3.800000000000000146e-07 6.072177210419708038e-01 5.382157072872014586e-02
3.900000000000000247e-07 4.761138949079090077e-01 4.554132907814781306e-02
3.999999999999999819e-07 3.808911159263271839e-01 5.382157072872014586e-02
4.099999999999999920e-07 2.898084577700315578e-01 8.970261788120023616e-02
4.200000000000000022e-07 2.194264037401667533e-01 1.214435442083941635e-01
4.300000000000000123e-07 1.738850746620189125e-01 1.242036247585849434e-01
4.400000000000000224e-07 1.504243899853973110e-01 1.021229803570587319e-01
4.500000000000000326e-07 1.242036247585849434e-01 8.970261788120023616e-02
4.599999999999999898e-07 7.866229568043713039e-02 8.970261788120023616e-02
4.699999999999999999e-07 3.174092632719393431e-02 8.694253733100945625e-02
4.800000000000000630e-07 1.104032220076310578e-02 7.728225540534174043e-02
4.899999999999999672e-07 1.104032220076310578e-02 5.658165127891091883e-02
4.999999999999999774e-07 1.242036247585849573e-02 4.554132907814781306e-02
5.099999999999999875e-07 6.900201375476941977e-03 5.520161100381553582e-02
5.199999999999999976e-07 1.380040275095388222e-03 6.762197347967402461e-02
5.300000000000000078e-07 1.104032220076310578e-02 7.452217485515097439e-02
5.400000000000000179e-07 3.174092632719393431e-02 7.728225540534174043e-02
5.500000000000000281e-07 4.140120825286165013e-02 7.728225540534174043e-02
5.600000000000000382e-07 3.450100687738470728e-02 8.418245678081867633e-02
5.700000000000000483e-07 2.484072495171699146e-02 8.970261788120023616e-02
5.800000000000000585e-07 1.656048330114465866e-02 8.832257760610484620e-02
5.899999999999999627e-07 1.380040275095388395e-02 7.590221513024635047e-02
5.999999999999999728e-07 1.104032220076310578e-02 7.038205402986480452e-02
6.099999999999999830e-07 2.760080550190776444e-03 6.762197347967402461e-02
6.199999999999999931e-07 -5.520161100381552888e-03 6.762197347967402461e-02
6.300000000000000033e-07 -5.520161100381552888e-03 6.624193320457863465e-02
6.400000000000000134e-07 5.520161100381552888e-03 6.486189292948325857e-02
6.500000000000000235e-07 9.660281925667717554e-03 6.486189292948325857e-02
6.600000000000000337e-07 1.380040275095388395e-02 7.452217485515097439e-02
6.700000000000000438e-07 1.242036247585849573e-02 7.866229568043713039e-02
6.800000000000000539e-07 1.656048330114465866e-02 8.004233595553252034e-02
6.900000000000000641e-07 1.794052357624004862e-02 7.866229568043713039e-02
6.999999999999999683e-07 1.932056385133543511e-02 7.590221513024635047e-02
