#time[sec] output_ch0 output_ch1
0.000000000000000000e+00 1.656048330114465866e-02 2.760080550190776791e-02
1.000000000000000021e-08 1.476643094352065588e-01 3.174092632719393431e-02
2.000000000000000042e-08 3.739909145508502064e-01 4.830140962833859297e-02
3.000000000000000394e-08 5.271753850864383528e-01 6.762197347967402461e-02
4.000000000000000084e-08 6.389586473691647450e-01 7.038205402986480452e-02
4.999999999999999774e-08 7.328013860756511511e-01 4.002116797776626017e-02
6.000000000000000787e-08 8.114636817560884063e-01 9.660281925667717554e-03
7.000000000000000477e-08 8.501048094587592141e-01 0.000000000000000000e+00
8.000000000000000167e-08 8.652852524848084759e-01 1.380040275095388395e-02
8.999999999999999857e-08 8.818457357859531554e-01 1.932056385133543511e-02
9.999999999999999547e-08 9.191068232135286564e-01 1.932056385133543511e-02
1.100000000000000056e-07 9.605080314663901886e-01 1.380040275095388395e-02
1.200000000000000157e-07 9.839687161430118456e-01 2.208064440152621155e-02
1.299999999999999994e-07 9.908689175184887121e-01 4.002116797776626017e-02
1.400000000000000095e-07 9.936289980686795476e-01 5.244153045362475590e-02
1.499999999999999932e-07 1.006049360544537974e+00 4.968144990343398293e-02
1.600000000000000033e-07 1.015709642470205898e+00 4.278124852795703315e-02
1.700000000000000135e-07 1.015709642470205898e+00 3.450100687738470728e-02
1.799999999999999971e-07 1.001909239719251721e+00 3.864112770267087021e-02
1.900000000000000073e-07 9.881088369682979877e-01 4.002116797776626017e-02
1.999999999999999909e-07 9.867287966932026810e-01 3.450100687738470728e-02
2.100000000000000011e-07 9.922489577935842409e-01 2.346068467662160151e-02
2.200000000000000112e-07 9.936289980686795476e-01 1.932056385133543511e-02
2.299999999999999949e-07 9.894888772433934054e-01 2.208064440152621155e-02
2.400000000000000315e-07 9.908689175184887121e-01 2.760080550190776791e-02
2.499999999999999887e-07 9.977691188939658007e-01 2.760080550190776791e-02
2.599999999999999988e-07 1.008809441094728809e+00 2.760080550190776791e-02
