#time[sec] output_ch0 output_ch1
0.000000000000000000e+00 3.877913173018041060e-01 3.394899076734654852e-01
1.000000000000000021e-08 3.946915186772810835e-01 3.477701493240378250e-01
2.000000000000000042e-08 4.015917200527580055e-01 3.588104715248009446e-01
3.000000000000000394e-08 4.181522033539026295e-01 3.629505923500871423e-01
4.000000000000000084e-08 4.264324450044749693e-01 3.781310353761364040e-01
4.999999999999999774e-08 4.305725658297611669e-01 3.850312367516133261e-01
6.000000000000000787e-08 4.457530088558103731e-01 3.974515992274718634e-01
7.000000000000000477e-08 4.526532102312873507e-01 4.098719617033302898e-01
8.000000000000000167e-08 4.664536129822411947e-01 4.126320422535210697e-01
8.999999999999999857e-08 4.774939351830043144e-01 4.236723644542841893e-01
9.999999999999999547e-08 4.871542171086721273e-01 4.347126866550473090e-01
1.100000000000000056e-07 4.940544184841489939e-01 4.498931296810965708e-01
1.200000000000000157e-07 5.078548212351029489e-01 4.540332505063827129e-01
1.299999999999999994e-07 5.188951434358660686e-01 4.636935324320504148e-01
1.400000000000000095e-07 5.244153045362476284e-01 4.705937338075274479e-01
1.499999999999999932e-07 5.368356670121060548e-01 4.816340560082905675e-01
1.600000000000000033e-07 5.464959489377737567e-01 4.899142976588629073e-01
1.700000000000000135e-07 5.561562308634415697e-01 4.995745795845305537e-01
1.799999999999999971e-07 5.658165127891091606e-01 5.092348615101982556e-01
1.900000000000000073e-07 5.809969558151584224e-01 5.216552239860567930e-01
1.999999999999999909e-07 5.906572377408262353e-01 5.313155059117244949e-01
2.100000000000000011e-07 5.989374793913985195e-01 5.368356670121060548e-01
2.200000000000000112e-07 6.058376807668754971e-01 5.492560294879644811e-01
2.299999999999999949e-07 6.154979626925431990e-01 5.589163114136322941e-01
2.400000000000000315e-07 6.279183251684017364e-01 5.685765933392999960e-01
2.499999999999999887e-07 6.320584459936878785e-01 5.782368752649676980e-01
2.599999999999999988e-07 6.458588487446417226e-01 5.878971571906353999e-01
2.700000000000000090e-07 6.582792112205001489e-01 5.975574391163031018e-01
2.800000000000000191e-07 6.693195334212632686e-01 6.044576404917800794e-01
2.900000000000000292e-07 6.720796139714541040e-01 6.182580432427339234e-01
2.999999999999999864e-07 6.886400972725987835e-01 6.292983654434970431e-01
3.099999999999999966e-07 7.010604597484572098e-01 6.348185265438786029e-01
3.200000000000000067e-07 7.107207416741249117e-01 6.444788084695463048e-01
3.300000000000000168e-07 7.190009833246973070e-01 6.527590501201185891e-01
3.400000000000000270e-07 7.272812249752695912e-01 6.624193320457864020e-01
3.499999999999999842e-07 7.369415069009374042e-01 6.762197347967402461e-01
